mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
28	java.awt.ComponentOrientation	-0.6004446	-0.5503205	0.08216659	0.020334315	0.102229305	-0.20109923	0.45220932	-0.257681	0.007785369	-0.11847976	0.55073255	-0.41203684	0.2854895	-0.11950703	0.0829618	-0.07385198	-0.48012885	0.72923905	0.25444236	0.46704882	0.072911516	0.3499962	0.56406933	0.10421583	0.5937372	0.24190728	-0.40111986	-0.33605757	0.59061664	0.05461246	-0.7611135	-0.030589763	2
29	java.awt.Composite	0.3364799	1.2233496	0.32022816	0.60183805	0.050417893	-0.3398361	0.76689184	0.7617926	0.16061702	0.23970611	0.28169435	-0.8309355	-0.14831078	-0.8584859	0.2968702	0.7198996	-0.39101273	-0.07105032	-0.75727373	0.897115	0.44756547	0.60644066	0.6079187	0.7376388	-0.07161775	0.40189743	-0.21799403	-0.11337218	0.41084406	-0.3579046	-0.38122085	0.535807	2
30	java.awt.CompositeContext	0.06250622	1.1803669	0.6624783	0.5276137	-0.09846712	-0.5136621	1.144862	0.6543431	-0.12042584	-0.03485142	0.29831678	-0.5924582	-0.10938832	-0.76213926	0.25066957	0.6102301	-0.18363263	-0.06968797	-1.3206917	0.9705663	0.4192983	0.6979146	0.43322194	0.88360584	-0.17989363	-0.034509394	-0.4620935	-0.06287165	0.60488987	-0.44320497	-0.17863186	0.0143816145	2
31	java.awt.Container	-0.26249158	-0.6401994	0.64953685	0.18958563	-0.25258437	-0.107619606	-0.061979722	-0.100747116	0.17278363	0.37727955	0.654045	-0.58957267	0.23638451	-0.48153552	0.03651567	-0.10611496	-0.37061337	0.77039886	0.09967661	0.13108969	0.28212178	0.29540822	0.39524052	0.3667781	0.51972514	0.14422661	-0.445128	-0.31693333	0.5508565	-0.20910949	-0.58820695	0.14407468	2
32	java.awt.ContainerOrderFocusTraversalPolicy	-0.10393636	-0.6491957	0.42176265	0.49086493	-0.13890754	0.03625164	-0.30546027	-0.19993654	-0.25751132	0.010773952	0.5157478	-0.12490765	0.16852432	0.068155386	-0.40501168	-0.425352	-0.25124276	0.6522928	0.17222969	0.13522853	0.40395758	0.5680697	0.06101495	0.13854381	0.87416047	-0.29603833	-0.30726463	-0.29344586	0.24762914	-0.029552042	-0.4546332	-0.13553543	2
33	java.awt.Cursor	-0.8008729	-0.48698047	0.4044775	0.1683856	-0.08120402	0.20192082	0.80687624	-0.37556025	-0.15545534	0.0019048919	0.5519164	-0.8591394	0.019756295	-0.21330723	0.0034706404	0.1568841	-0.28823724	0.61815625	-0.15206376	-0.0030935153	0.16042775	0.43722993	0.39724758	0.0135616	0.6931578	0.32478166	-0.30693796	0.2118586	0.33799466	-0.1292485	-0.6704724	-0.20669301	2
34	java.awt.DefaultFocusTraversalPolicy	-0.24876557	-0.36901802	0.3456839	0.354207	-0.25033742	0.061679326	-0.20892438	-0.12169822	-0.3136935	0.09260305	0.39596456	-0.20423904	0.24486826	0.066760026	-0.26183772	-0.33504403	-0.1846865	0.5633656	0.35058996	0.15182029	0.30903095	0.49621645	0.3405456	0.1679689	0.5959354	-0.3895322	-0.45771953	-0.20074175	0.15788333	-0.12306168	-0.5256499	-0.35243976	2
35	java.awt.DefaultKeyboardFocusManager	0.033119004	-0.50583655	0.6642112	0.55426365	-0.4722278	-0.25495556	-0.4632898	-0.052282173	0.30526215	0.070642024	0.15682359	-0.16733122	-0.21473037	0.05261811	-0.013713648	-0.61453557	0.23786564	0.45661458	0.6711517	0.017118465	0.07400661	0.8643729	0.21627882	0.16188806	0.90144306	0.2402309	-0.6079617	-0.09484901	0.20439939	-0.25581852	-0.8664938	0.17679267	2
36	java.awt.Desktop	0.22960618	-0.4762208	0.15446264	0.6415573	0.25237602	-0.071439035	0.12010209	-0.11148303	-0.5290292	0.020140164	-0.09377431	-0.3540052	0.21156792	-0.8651133	-0.723825	-0.08667137	0.17459525	-0.21739809	-0.096018836	0.37834203	0.083700545	0.19051136	-0.010688576	-0.6117011	-0.41693705	-0.6894999	-0.26468694	-0.42170632	-0.022614691	-0.13692948	0.09163284	0.42008537	2
37	java.awt.Dialog	-0.10340815	-0.5906518	0.69560826	-0.018695498	0.54464704	0.07166958	0.11116851	-0.12558216	0.12804481	0.12717032	0.23168497	-0.27180073	0.18478057	-0.86172855	0.012999286	-0.21361504	-0.35669398	0.72756433	-0.048179258	0.51499337	0.15942863	0.08024204	0.53721434	0.17551528	0.6792622	0.088854134	-0.4566134	-0.13932063	0.099834725	-0.37356198	-0.81484604	0.11805822	2
