mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
31	Marjan Špegel	0.18959899	-0.49096602	-0.20205006	-0.8533313	-0.23383045	-1.1170676	-0.33072147	-0.03003744	-0.09185422	-0.8293367	1.6979083	-0.07046901	0.4105079	0.703411	-0.17664307	-0.611612	0.2698638	0.38844424	-0.14816557	0.1299733	-0.12570071	0.19646324	0.048109453	-0.39441782	0.34894833	-0.3458733	-0.5815281	-0.13754463	0.31941125	-0.16266826	-1.3465779	0.31660956	1
32	Peter Tancig	0.19391452	-0.57705724	0.23777844	0.11095147	0.67748725	-1.1960261	-0.3301097	0.13834071	-0.06488527	0.69788045	0.51968384	-0.6352036	-0.11946801	0.18687387	0.5387454	-0.23712502	-0.33013695	-0.37607977	-0.027553992	0.7552689	0.6611016	0.8243865	0.91691303	-0.47115725	-0.06129978	-0.0037721077	-0.83242494	0.40870264	0.117562935	-1.0050713	-0.9151786	0.6362075	5
33	Bruno Stiglic	0.6060066	-0.4121624	-0.37818703	-0.61636215	0.8138897	-0.09039362	0.46573484	0.47691777	-0.45789665	-0.5665181	0.93131584	-0.38729012	0.46121228	0.5005714	0.8325882	0.09309196	0.18074547	0.36473387	-0.31216967	-0.0010025509	-0.80498964	0.35078344	0.12734501	-0.32127059	-0.2638359	-0.2600523	0.0638547	-0.71542513	0.37645584	-1.3076695	0.4528955	-0.0043050563	5
34	Viljem Žumer	0.53508884	-0.71227324	-0.94065094	-0.33841592	1.1931429	0.15315042	0.39591706	0.8538213	-0.43488276	-0.4230685	0.90993667	0.25318685	-0.007182438	0.73939246	0.3849133	-0.0592063	-0.2746647	-0.02109781	-0.059048004	-0.30858415	-0.19058415	0.2160564	-0.035129793	-0.12895577	-0.59910035	-0.04061648	-0.7677542	-0.9515876	0.19055091	-0.6104367	0.4511517	-0.36934975	1
35	Ivan Vezočnik	0.27203354	-0.061642822	-0.55113596	0.2541476	0.19884863	-0.68420416	0.46227112	0.8022095	-0.058051422	-0.45432618	0.46057832	-0.44906774	0.7957511	0.672393	0.6814073	0.17024983	0.16847448	0.26678637	-0.48398194	1.0699905	-0.19901626	0.31121564	0.29175702	0.3906013	0.07881279	0.14704825	-0.19898346	-0.7873835	0.92111325	-0.59509474	0.34538063	-0.0072798645	0
36	Viljan Mahnič	-0.3767435	-0.82594806	-0.14022133	1.1303018	0.5538891	0.056353886	0.104973875	0.3162784	0.42132896	-0.58541054	0.6149995	-0.4651416	-0.05708933	-0.004401151	0.31572518	-0.1758011	0.038332514	-0.010906858	0.009178905	0.88982546	-0.15303408	0.84716785	0.13658334	-0.049107887	-0.42824703	-0.7901344	-0.36379087	-0.49360994	0.572008	-0.20457074	-0.32459667	-0.16886584	3
37	Igor Mozetič	-0.37229663	-0.19413252	0.17233242	-0.6958781	0.4453723	-0.920594	-0.49500763	-0.31969488	-0.047549035	0.3594175	0.48962912	-0.9670964	0.3730602	0.14280187	-0.4723933	-0.2846542	0.031989712	0.09726336	-0.6743393	1.2535434	-0.13562383	0.16598877	0.021411555	-0.5941148	-0.27866924	-0.29704294	-0.669571	0.13339178	-0.18779874	-0.46078593	-0.6428413	-0.11740054	0
38	Saša Prešern	0.12457251	-1.044766	-0.030478716	-0.29208946	0.36382565	-0.4051674	-0.13761204	1.4030052	-0.16737962	-0.10696246	1.074011	0.035839718	0.59025717	1.1398844	-1.5329446	-0.48528478	-0.68682796	0.55563766	-0.15101764	0.7790813	0.8084904	0.2828693	-0.6715534	-0.6377746	0.6700231	-0.84694165	-1.0202453	-0.278782	-0.007073193	0.23390538	-1.0723819	0.77621555	1
39	Franc Jager	0.7749098	-0.7833156	-0.4787821	-0.78971374	0.08566616	-0.4852229	-1.3565714	0.09578227	-0.55813134	-0.42119765	0.03797702	-0.8506327	-0.045971587	-0.029133119	0.18716323	-0.19483645	-0.14616019	0.26968724	-0.53899866	0.25042617	0.72299963	0.8484224	0.20721985	0.16984269	-1.4363006	-1.5992146	-1.100128	0.31212518	0.82166666	-0.011400419	0.14973807	0.0882894	3
40	Peter Reinhardt	-0.11072858	-0.30830017	-0.36603907	-0.46103907	-0.53085536	-0.9613953	-0.41456568	-0.26109597	-0.07264153	-0.60701126	1.7191162	-0.2038471	-0.00062706706	0.48909214	-0.5563116	-0.48630524	0.4510009	0.05251088	-0.3223295	0.4662615	-0.14806037	0.32605064	0.20335612	-0.60122585	0.10117937	-0.24299157	-1.1019013	-0.6587326	0.29501492	-0.04478912	-1.1114633	0.35987929	1
