V1.ime	V2.priimek	V3.AvtID	V4.OpisVloga	V5.kjluc	V6.organiz	V7.COBISS	V8	V9.STATUS1	V10.STATUS2	V11.POD	V12.DIS	V13.VED	V14.leto	V15.tip	V16.vloga	V17.stAvt	V18.samo	V19.vdisc	V20.medDisc	V21.izven	V22.tipTock	V23.tocke	vrstniRed	V25.starost	V26.Dr	V27.spol	V28	V29.excellent	V30.ResGroup
Roman	Nedela	27776	avtor	27776/1587415	NA	1587415	main	ACT	RSR	5	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1A1 (Z1, A')	54.61	2469396	1993	1	M	Z1	1	NA
Roman	Nedela	27776	avtor	27776/1587671	NA	1587671	main	ACT	RSR	5	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	34.75	2469398	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/1586903	NA	1586903	main	ACT	RSR	5	1	1	2001	1.01	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	40.0	2469400	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/1585623	NA	1585623	main	ACT	RSR	5	1	1	2004	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	24.2	2469402	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/1586391	NA	1586391	main	ACT	RSR	5	1	1	2004	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	31.04	2469405	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/1586135	NA	1586135	main	ACT	RSR	5	1	1	2004	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A1 (Z1, A')	35.89	2469408	1993	1	M	Z1	1	NA
Roman	Nedela	27776	avtor	27776/1585367	NA	1585367	main	ACT	RSR	5	1	1	2005	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	20.0	2469411	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/1585111	NA	1585111	main	ACT	RSR	5	1	1	2005	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A1 (Z1, A')	35.47	2469413	1993	1	M	Z1	1	NA
Roman	Nedela	27776	avtor	27776/1732567	NA	1732567	main	ACT	RSR	5	1	1	2006	1.01	R.1	2	0	0.25	0.25	0.25	1A1 (Z1, A')	51.81	2469416	1993	1	M	Z1	1	NA
Roman	Nedela	27776	avtor	27776/2245591	NA	2245591	main	ACT	RSR	5	1	1	2007	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	20.42	2469419	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/2246103	NA	2246103	main	ACT	RSR	5	1	1	2007	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	30.64	2469421	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/2356439	NA	2356439	main	ACT	RSR	5	1	1	2007	1.01	R.1	5	0	0.04	0.16	0.16	1A2 (Z1)	18.56	2469425	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/2356695	NA	2356695	main	ACT	RSR	5	1	1	2007	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A2 (Z1)	30.93	2469428	1993	1	M	Z1	NA	NA
Roman	Nedela	27776	avtor	27776/2356183	NA	2356183	main	ACT	RSR	5	1	1	2007	1.01	R.1	2	0	0.25	0.25	0.25	1A1 (Z1, A')	63.65	2469431	1993	1	M	Z1	1	NA
Roman	Nedela	27776	avtor	27776/1587927	NA	1587927	main	ACT	RSR	5	1	1	2002	1.03	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	20.62	2469434	1993	1	M	Z1	NA	NA
Janoš	Vidali	30920	avtor	30920/1024263252	3-128	1024263252	main	ACT	YNG	4	1	1	2010	1.01	R.1	3	0	0.222222222222222	0.111111111111111	0.0	1A4 (Z1)	19.61	2469469	2008	1	M	Z1	NA	689
Peter	Nose	31355	avtor	31355/1024263252	3-128	1024263252	main	ACT	RSR	4	1	1	2010	1.01	R.1	3	0	0.222222222222222	0.111111111111111	0.0	1A4 (Z1)	19.61	2469470	2008	0	M	Z1	NA	689
Aljaž	Ule	28229	avtor	28229/5428041	NA	5428041	main	ACT	RSR	6	1	1	2003	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	45.4	2477509	1997	1	M	Z1	NA	2
Aljaž	Ule	28229	avtor	28229/513006617	NA	513006617	main	ACT	RSR	6	1	1	2003	1.01	R.1	6	0	0.0277777777777778	0.138888888888889	0.111111111111111	1A1 (Z1, A'', A')	50.0	2477515	1997	1	M	Z1	1	2
Aljaž	Ule	28229	avtor	28229/513006361	NA	513006361	main	ACT	RSR	6	1	1	2005	1.01	R.1	15	0	0.00444444444444444	0.0622222222222222	0.0577777777777778	1A1 (Z1, A'', A')	21.2	2477518	1997	1	M	Z1	1	2
Aljaž	Ule	28229	avtor	28229/1024154452	3-300	1024154452	main	ACT	RSR	6	1	1	2009	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A1 (Z1, A'', A')	33.33	2477534	1997	1	M	Z1	1	2
Aljaž	Ule	28229	avtor	28229/1024190804	3-300	1024190804	main	ACT	RSR	6	1	1	2009	1.01	R.1	4	0	0.0625	0.1875	0.1875	1A1 (Z1, A'', A')	75.0	2477535	1997	1	M	Z1	1	2
Aljaž	Ule	28229	avtor	28229/513010201	NA	513010201	main	ACT	RSR	6	1	1	2006	1.03	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	32.0	2477539	1997	1	M	Z1	NA	2
Aljaž	Ule	28229	avtor	28229/513017113	NA	513017113	main	ACT	RSR	6	1	1	2003	1.06	R.1	2	0	0.25	0.25	0.25	4NK (S); zbornik nerecenziranih prispevkov	2.5	2477543	1997	1	M	S	NA	2
Aljaž	Ule	28229	avtor	28229/513010969	NA	513010969	main	ACT	RSR	6	1	1	2006	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	2477544	1997	1	M	S	NA	2
Aljaž	Ule	28229	avtor	28229/513006873	NA	513006873	main	ACT	RSR	6	1	1	2006	1.16	R.1	2	0	0.25	0.25	0.25	3B (Z1)	15.0	2477573	1997	1	M	Z1	NA	2
Aljaž	Ule	28229	avtor	28229/14604377	4-016	14604377	main	ACT	RSR	6	1	1	2008	2.01	R.1	1	1	0.0	0.0	0.0	2A (Z1, A'', A')	160.0	2477579	1997	1	M	Z1	1	2
Dikran N.	Dikranjan	28252	avtor	28252/16247641	4-016	16247641	main	ACT	RSR	2	1	1	1987	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A4 (Z1)	17.57	2477906	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16169305	4-016	16169305	main	ACT	RSR	2	1	1	1988	1.01	R.1	2	0	0.25	0.25	0.25	1A4 (Z1)	27.94	2477909	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16248409	4-016	16248409	main	ACT	RSR	2	1	1	1992	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	34.15	2477911	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16248921	4-016	16248921	main	ACT	RSR	2	1	1	1993	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	50.0	2477913	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16248665	4-016	16248665	main	ACT	RSR	2	1	1	1994	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	68.3	2477915	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16249433	4-016	16249433	main	ACT	RSR	2	1	1	1998	1.01	R.1	1	1	0.0	0.0	0.0	1A2 (Z1)	83.59	2477916	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16249945	4-016	16249945	main	ACT	RSR	2	1	1	1998	1.01	R.1	4	0	0.0625	0.1875	0.1875	1A2 (Z1)	20.9	2477918	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16249689	4-016	16249689	main	ACT	RSR	2	1	1	1998	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	41.8	2477921	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16250457	4-016	16250457	main	ACT	RSR	2	1	1	1998	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	79.47	2477923	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16254809	4-016	16254809	main	ACT	RSR	2	1	1	1998	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	79.47	2477924	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16153433	4-016	16153433	main	ACT	RSR	2	1	1	1999	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	36.75	2477925	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16255065	4-016	16255065	main	ACT	RSR	2	1	1	1999	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	66.67	2477927	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16255321	4-016	16255321	main	ACT	RSR	2	1	1	1999	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	22.22	2477928	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16248153	4-016	16248153	main	ACT	RSR	2	1	1	2000	1.01	R.1	2	0	0.25	0.25	0.25	1A4 (Z1)	29.96	2477931	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16247897	4-016	16247897	main	ACT	RSR	2	1	1	2000	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	31.69	2477934	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/16250201	4-016	16250201	main	ACT	RSR	2	1	1	2000	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	25.45	2477935	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14095705	NA	14095705	main	ACT	RSR	2	1	1	2001	1.01	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	2477938	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14096729	NA	14096729	main	ACT	RSR	2	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1C (Z2)	15.0	2477939	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14097241	NA	14097241	main	ACT	RSR	2	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	38.36	2477942	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14096985	NA	14096985	main	ACT	RSR	2	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	41.36	2477943	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14095961	NA	14095961	main	ACT	RSR	2	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	41.36	2477945	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14096473	NA	14096473	main	ACT	RSR	2	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	30.25	2477947	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14096217	NA	14096217	main	ACT	RSR	2	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	30.25	2477950	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14093913	NA	14093913	main	ACT	RSR	2	1	1	2002	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	44.66	2477951	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14094425	NA	14094425	main	ACT	RSR	2	1	1	2002	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	40.06	2477954	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14094937	NA	14094937	main	ACT	RSR	2	1	1	2002	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	33.86	2477955	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14093657	NA	14093657	main	ACT	RSR	2	1	1	2002	1.01	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	52.37	2477957	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14094681	NA	14094681	main	ACT	RSR	2	1	1	2002	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	20.0	2477959	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14094169	NA	14094169	main	ACT	RSR	2	1	1	2002	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	20.0	2477962	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14095449	NA	14095449	main	ACT	RSR	2	1	1	2001	1.01	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	2477964	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14095193	NA	14095193	main	ACT	RSR	2	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.25	1C (Z2)	15.0	2477965	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14092889	NA	14092889	main	ACT	RSR	2	1	1	2003	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1C (Z2)	10.0	2477967	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14093145	NA	14093145	main	ACT	RSR	2	1	1	2003	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	48.48	2477970	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14093401	NA	14093401	main	ACT	RSR	2	1	1	2003	1.01	R.1	4	0	0.0625	0.1875	0.1875	1A4 (Z1)	14.12	2477973	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14092377	4-016	14092377	main	ACT	RSR	2	1	1	2004	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	34.52	2477976	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14517081	NA	14517081	main	ACT	RSR	2	1	1	2004	1.01	R.1	1	1	0.0	0.0	0.0	1NK (S)	5.0	2477978	1980	1	M	S	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14089817	NA	14089817	main	ACT	RSR	2	1	1	2005	1.01	R.1	4	0	0.0625	0.1875	0.1875	1C (Z2)	7.5	2477980	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14091865	NA	14091865	main	ACT	RSR	2	1	1	2005	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A2 (Z1)	29.5	2477983	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14092121	NA	14092121	main	ACT	RSR	2	1	1	2005	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A4 (Z1)	19.54	2477987	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14086745	NA	14086745	main	ACT	RSR	2	1	1	2005	1.01	R.1	2	0	0.25	0.25	0.25	1A4 (Z1)	29.31	2477989	1980	1	M	Z1	NA	2
