                     Character | Like 'The Silk King'
              'The Spice King' | 78.6% (3 ops)
             'The Copper King' | 60.0% (6 ops)
                 'The Tickler' | 46.2% (7 ops)
                  'Night King' | 38.5% (8 ops)
                    'The Waif' | 38.5% (8 ops)

                     Character | Like 'The Spice King'
               'The Silk King' | 78.6% (3 ops)
             'The Copper King' | 66.7% (5 ops)
                 'The Tickler' | 42.9% (8 ops)
                  'Night King' | 35.7% (9 ops)
                    'The Waif' | 35.7% (9 ops)

                     Character | Like 'The Tickler'
                     'Tickler' | 63.6% (4 ops)
                     'Rennick' | 36.4% (7 ops)
               'The Silk King' | 46.2% (7 ops)
                    'The Waif' | 36.4% (7 ops)
                'White Walker' | 41.7% (7 ops)

                     Character | Like 'Theon Greyjoy'
               'Euron Greyjoy' | 76.9% (3 ops)
        'Prince Theon Greyjoy' | 65.0% (7 ops)
          'King Balon Greyjoy' | 55.6% (8 ops)
          'King Euron Greyjoy' | 55.6% (8 ops)
                  'Thenn Warg' | 38.5% (8 ops)

                     Character | Like 'Tyrion Lannister'
            'Martyn Lannister' | 75.0% (4 ops)
             'Jaime Lannister' | 68.8% (5 ops)
            'Lancel Lannister' | 62.5% (6 ops)
         'Ser Alton Lannister' | 68.4% (6 ops)
            'Willem Lannister' | 62.5% (6 ops)

                     Character | Like 'White Walker'
               'White Walkers' | 92.3% (1 ops)
                'Water Dancer' | 50.0% (6 ops)
                 'The Tickler' | 41.7% (7 ops)
                    'The Waif' | 41.7% (7 ops)
                       'Biter' | 33.3% (8 ops)

                     Character | Like 'White Walkers'
                'White Walker' | 92.3% (1 ops)
                'Water Dancer' | 46.2% (7 ops)
               'Great Masters' | 38.5% (8 ops)
                 'The Tickler' | 38.5% (8 ops)
                    'The Waif' | 38.5% (8 ops)

                     Character | Like 'Wight Giant'
                  'Night King' | 63.6% (4 ops)
                       'Wight' | 45.5% (6 ops)
                      'Wights' | 45.5% (6 ops)
                 'Meryn Trant' | 36.4% (7 ops)
                   'Dying Man' | 27.3% (8 ops)

